id,danceability,energy,liveness,valence,tempo
609,0.625,0.818,0.132,0.307,123.905
610,0.529,0.0546,0.108,0.517,78.451
611,0.57,0.468,0.206,0.335,137.855
612,0.566,0.168,0.125,0.238,116.286
613,0.598,0.249,0.0892,0.292,113.829
614,0.713,0.281,0.111,0.397,148.301
615,0.547,0.328,0.0884,0.186,139.959
616,0.806,0.263,0.182,0.868,115.854
617,0.548,0.889,0.359,0.789,95.289
618,0.643,0.617,0.0989,0.592,82.029
619,0.428,0.813,0.154,0.347,91.053
620,0.432,0.664,0.15,0.294,156.216
621,0.366,0.482,0.117,0.278,169.677
622,0.325,0.424,0.23,0.494,173.352
